"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 24, 2022","12,014.91","11,939.67","12,044.54","11,939.34","-","0.57%"
"Jun 23, 2022","11,946.97","12,020.98","12,026.48","11,930.64","-","-0.65%"
"Jun 22, 2022","12,025.51","12,159.05","12,198.75","12,024.91","-","-1.12%"
"Jun 21, 2022","12,161.36","12,126.78","12,167.44","12,109.79","-","0.22%"
"Jun 20, 2022","12,134.22","12,082.59","12,177.53","12,082.59","-","0.42%"
"Jun 17, 2022","12,083.57","12,258.10","12,258.10","12,083.57","-","-1.42%"
"Jun 16, 2022","12,258.10","12,357.96","12,366.10","12,252.92","-","-0.82%"
"Jun 15, 2022","12,358.98","12,262.57","12,359.26","12,244.09","-","0.77%"
"Jun 14, 2022","12,264.62","12,490.67","12,490.67","12,264.22","-","-1.81%"
"Jun 13, 2022","12,490.67","12,564.76","12,613.70","12,479.50","-","-0.59%"
"Jun 10, 2022","12,564.76","12,611.85","12,611.85","12,531.87","-","-0.37%"
"Jun 09, 2022","12,611.85","12,661.55","12,706.81","12,611.85","-","-0.48%"
"Jun 08, 2022","12,672.32","12,716.87","12,728.19","12,648.82","-","-0.35%"
"Jun 07, 2022","12,716.87","12,662.66","12,716.87","12,588.67","-","0.41%"
"Jun 06, 2022","12,665.15","12,595.67","12,668.16","12,580.81","-","0.44%"
"Jun 03, 2022","12,609.89","12,534.97","12,609.89","12,504.06","-","0.60%"
"Jun 02, 2022","12,534.97","12,392.50","12,552.93","12,385.81","-","1.15%"
"Jun 01, 2022","12,392.78","12,303.94","12,492.43","12,298.49","-","0.43%"
"May 31, 2022","12,339.60","12,321.15","12,364.38","12,314.54","-","0.15%"
"May 30, 2022","12,321.15","12,334.93","12,379.51","12,311.84","-","-0.11%"
"May 27, 2022","12,334.93","12,407.88","12,430.36","12,306.00","-","-0.62%"
"May 26, 2022","12,411.50","12,394.39","12,439.64","12,388.99","-","0.14%"
"May 25, 2022","12,394.39","12,421.60","12,480.62","12,375.27","-","-0.22%"
"May 24, 2022","12,421.60","12,564.55","12,607.54","12,413.70","-","-1.14%"
"May 23, 2022","12,564.55","12,626.59","12,660.52","12,526.15","-","-0.49%"
"May 20, 2022","12,626.59","12,679.79","12,691.63","12,625.57","-","-0.42%"
"May 19, 2022","12,680.13","12,679.08","12,738.77","12,679.08","-","0.00%"
"May 18, 2022","12,679.96","12,716.65","12,749.42","12,672.62","-","-0.29%"
"May 17, 2022","12,716.65","12,682.77","12,733.07","12,681.66","-","0.27%"
"May 16, 2022","12,682.77","12,682.21","12,738.15","12,648.59","-","0.00%"
"May 13, 2022","12,682.21","12,572.39","12,683.16","12,568.50","-","0.87%"
"May 12, 2022","12,572.39","12,649.89","12,660.58","12,569.39","-","-0.61%"
